,Tiltwing,Tiltrotor,Blimp,Hexacopter
mean,318.88,318.84,290.57,352.21
std,11.45,5.22,11.94,12.68
min,282.66,307.58,256.96,308.96
25%,310.87,314.77,282.06,343.15
50%,318.8,318.75,290.26,352.41
75%,327.12,322.49,299.07,361.91
max,352.02,337.3,321.07,380.56
