,Tiltwing,Tiltrotor,Blimp,Hexacopter
mean,332.97,237.2,309.73,361.62
std,6.62,18.13,13.88,8.16
min,314.25,185.45,272.93,338.42
25%,328.26,223.53,300.06,355.63
50%,332.54,236.35,310.01,361.31
75%,337.33,251.02,319.56,367.81
max,356.39,282.21,345.33,381.9
