,Tiltwing,Tiltrotor,Blimp,Hexacopter
mean,77.55,60.18,81.23,83.77
std,1.75,4.08,3.12,2.29
min,72.41,48.09,71.3,76.67
25%,76.34,57.06,79.05,82.2
50%,77.51,60.03,81.29,83.74
75%,78.77,63.4,83.48,85.34
max,83.65,69.87,89.56,90.52
