,Tiltwing,Tiltrotor,Blimp,Hexacopter
mean,316.44,235.12,362.12,316.44
std,10.05,19.23,7.1,10.05
min,285.32,179.87,338.99,285.32
25%,309.41,220.71,357.34,309.41
50%,316.27,233.98,362.46,316.27
75%,323.37,249.7,367.19,323.37
max,348.31,282.34,381.01,348.31
