,Tiltwing,Tiltrotor,Blimp,Hexacopter
mean,300.0,225.48,327.38,327.5
std,7.39,15.97,13.64,10.11
min,275.93,177.11,286.67,295.28
25%,294.77,213.66,318.01,320.42
50%,300.0,224.66,327.48,327.59
75%,305.21,237.73,337.4,334.43
max,322.68,266.24,361.67,359.26
